INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3539945939
INFO: Loaded 1 modules   (968 inline 8-bit counters): 968 [0x5e8cc57128f8, 0x5e8cc5712cc0), 
INFO: Loaded 1 PC tables (968 PCs): 968 [0x5e8cc5712cc0,0x5e8cc5716940), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	INITED cov: 50 ft: 51 corp: 1/1b exec/s: 0 rss: 32Mb
#7559	NEW    cov: 136 ft: 440 corp: 60/665b lim: 29 exec/s: 0 rss: 95Mb L: 25/29 MS: 5 CrossOver-ChangeASCIIInt-PersAutoDict-ChangeASCIIInt-PersAutoDict- DE: "\000\000\000\000"-"\000\000\000\000"-
#7673	NEW    cov: 136 ft: 447 corp: 61/694b lim: 29 exec/s: 0 rss: 96Mb L: 29/29 MS: 4 InsertRepeatedBytes-CopyPart-ChangeBit-ChangeBinInt-
#7757	REDUCE cov: 136 ft: 453 corp: 62/718b lim: 29 exec/s: 0 rss: 97Mb L: 24/29 MS: 4 ChangeBinInt-ChangeASCIIInt-ChangeByte-InsertRepeatedBytes-
#7987	REDUCE cov: 136 ft: 453 corp: 62/716b lim: 29 exec/s: 0 rss: 99Mb L: 9/29 MS: 5 ShuffleBytes-ShuffleBytes-EraseBytes-ShuffleBytes-ShuffleBytes-
#8069	NEW    cov: 136 ft: 454 corp: 63/742b lim: 29 exec/s: 0 rss: 100Mb L: 26/29 MS: 2 ChangeBinInt-CrossOver-
#8124	REDUCE cov: 136 ft: 455 corp: 64/771b lim: 29 exec/s: 0 rss: 100Mb L: 29/29 MS: 5 InsertRepeatedBytes-PersAutoDict-CrossOver-ChangeByte-ChangeBinInt- DE: "\377\377\377\377"-
#8301	NEW    cov: 137 ft: 456 corp: 65/798b lim: 29 exec/s: 0 rss: 101Mb L: 27/29 MS: 2 ChangeByte-ChangeByte-
#8343	NEW    cov: 138 ft: 457 corp: 66/827b lim: 29 exec/s: 0 rss: 102Mb L: 29/29 MS: 2 CrossOver-CrossOver-
#8622	NEW    cov: 138 ft: 458 corp: 67/855b lim: 29 exec/s: 0 rss: 104Mb L: 28/29 MS: 4 CopyPart-CrossOver-ChangeByte-InsertRepeatedBytes-
#8889	NEW    cov: 138 ft: 461 corp: 68/884b lim: 29 exec/s: 0 rss: 106Mb L: 29/29 MS: 2 ShuffleBytes-ChangeBit-
#8985	REDUCE cov: 138 ft: 461 corp: 68/881b lim: 29 exec/s: 0 rss: 107Mb L: 26/29 MS: 1 EraseBytes-
=================================================================
==2156785==ERROR: AddressSanitizer: heap-use-after-free on address 0x5020003c4610 at pc 0x5e8cc56c9eac bp 0x7fff72810800 sp 0x7fff728107f8
READ of size 1 at 0x5020003c4610 thread T0
    #0 0x5e8cc56c9eab in case_insensitive_strcmp /promefuzz/database/cjson/latest/code/cJSON.c:145:40
