2026-08-28T21:45:42.509006+0000 | MainThread INFO | __main__:setup_logger:65 | Logger set up with level INFO, log will be saved to logs/20260828214542_._PromeFuzz.py_-F_database_rapidcsv_latest_lib.toml_generate_--pool-size_1.log
2026-08-28T21:47:36.726375+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:45:15
2026-08-28T21:47:36.726619+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:50:20
2026-08-28T21:47:36.726870+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:50:20
2026-08-28T21:47:36.727161+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadU64 at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:19:17
2026-08-28T21:47:36.727407+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadU64 at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:19:17
2026-08-28T21:47:36.727668+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadU64 at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:19:17
2026-08-28T21:47:36.727931+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadU64 at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:19:17
2026-08-28T21:47:36.728180+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadU64 at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:19:17
2026-08-28T21:47:36.728417+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:45:15
2026-08-28T21:47:36.728658+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadBool at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:33:13
2026-08-28T21:47:36.728909+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadChar at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:39:13
2026-08-28T21:47:36.729140+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadBool at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_9.cpp:33:13
